,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
39,1J14CdDAvBTE1AJYUOwl6C,0.453,0.35,9.0,-11.639,0.0,0.0425,0.827,0.00122,0.144,0.279,72.017,185147.0,3.0
40,5QO79kh1waicV47BqGRL3g,0.68,0.826,0.0,-5.487,1.0,0.0309,0.0212,1.24e-05,0.543,0.644,118.051,215627.0,4.0
41,71R8HJxQk5qMiRstrlXN9t,0.54,0.455,3.0,-5.988,1.0,0.224,0.675,1.08e-05,0.12,0.432,83.876,212032.0,4.0
42,02MWAaffLxlfxAUY7c5dvx,0.761,0.525,11.0,-6.9,1.0,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,238805.0,4.0
43,4jPy3l0RUwlUI9T5XHBW2m,0.701,0.716,7.0,-3.671,0.0,0.0361,0.174,0.0,0.324,0.732,91.007,140533.0,4.0
44,1v1oIWf2Xgh54kIWuKsDf6,0.422,0.302,11.0,-9.214,1.0,0.0372,0.629,7.83e-05,0.104,0.123,114.089,248827.0,4.0
45,6UelLqGlWMcVH1E5c4H7lY,0.548,0.816,0.0,-4.209,1.0,0.0465,0.122,0.0,0.335,0.557,95.39,174000.0,4.0
46,6fRxMU4LWwyaSSowV441IU,0.713,0.676,10.0,-5.483,1.0,0.027,0.0377,0.0,0.154,0.721,99.048,227395.0,4.0
47,5YaskwnGDZFDRipaqzbwQx,0.669,0.784,7.0,-5.603,1.0,0.112,0.194,6.28e-06,0.115,0.517,125.993,150053.0,4.0
48,1nahzW3kfMuwReTka28tH5,0.658,0.634,1.0,-6.068,0.0,0.0431,0.0104,0.0,0.12,0.302,140.002,170813.0,4.0
49,1M4OcYkxAtu3ErzSgDEfoi,0.868,0.795,11.0,-6.044,1.0,0.269,0.0012,0.0193,0.0461,0.819,166.0,156945.0,4.0
50,0cOa970mzTWAxKtltpkpLc,0.85,0.541,2.0,-4.522,1.0,0.0674,0.161,5.01e-06,0.286,0.916,92.003,165275.0,4.0
51,74UFJflGMdA46TltO7XPSB,0.705,0.598,9.0,-3.439,1.0,0.0769,0.107,1.89e-06,0.0783,0.335,74.858,197960.0,4.0
52,4M4DTyLupKvbJKlE4I4EYq,0.803,0.628,9.0,-4.358,0.0,0.0536,0.147,1.92e-06,0.0461,0.661,92.021,193043.0,4.0
53,7I8L3vYCLThw2FDrE6LuzE,0.397,0.613,6.0,-5.077,1.0,0.0549,0.0396,0.0,0.192,0.405,78.4,330040.0,4.0
54,4fipVdNyG6zx7nxuqHScsy,0.705,0.721,1.0,-3.409,1.0,0.0475,0.457,0.0,0.121,0.519,159.935,185258.0,4.0
55,5jzEwSyyymBlf1fa1o39T2,0.818,0.673,4.0,-7.542,0.0,0.148,0.348,0.0,0.172,0.695,87.961,193636.0,4.0
56,1Crj1zkRMpsEjb9NOR6Zof,0.553,0.819,2.0,-3.083,1.0,0.257,0.368,1.36e-05,0.0915,0.761,87.913,192348.0,4.0
57,5RmSunLqeDqNWww8LWhAiK,0.737,0.634,3.0,-4.25,0.0,0.0424,0.345,0.0,0.111,0.528,94.927,206360.0,4.0
58,3ke6it1vTmHtz2ApcIVUz5,0.83,0.748,1.0,-5.362,1.0,0.162,0.354,0.0,0.0992,0.523,133.028,177443.0,4.0
59,6KEb17S00Inf0v1qYDgUAj,0.705,0.692,9.0,-6.476,0.0,0.0357,0.574,0.0,0.13,0.444,122.991,175890.0,4.0
60,1xK1Gg9SxG8fy2Ya373oqb,0.713,0.617,8.0,-4.637,1.0,0.0887,0.122,0.0,0.0962,0.682,168.021,232853.0,4.0
61,10cA6m379GINGe7ZF6g3q1,0.783,0.681,11.0,-6.618,1.0,0.25,0.164,0.0,0.109,0.872,80.992,136806.0,4.0
62,7xT1n5JKpB0bMPh6FL589e,0.894,0.709,3.0,-7.478,0.0,0.118,0.00914,0.0,0.101,0.462,93.048,201597.0,4.0
63,6qraVL4IJaIj0IuEexYJNa,0.828,0.83,2.0,-3.371,1.0,0.047,0.348,1.6e-05,0.0613,0.422,95.007,195066.0,4.0
64,079Ey5uxL04AKPQgVQwx5h,0.823,0.544,5.0,-7.132,1.0,0.0715,0.0215,0.00315,0.0966,0.664,149.903,186088.0,4.0
